"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-let-7a-5p",2486.83028074948,-2.36285763465774,0.46321750489685,-5.10096792474176,3.37920833357343e-07,7.28782597274004e-05
"hsa-let-7b-5p",3361.01058941894,-0.802004375040659,0.306471136567754,-2.61690018845659,0.00887322833161031,0.0630876783577128
"hsa-let-7c-5p",141.144431365056,-1.58764631839028,0.349429882716353,-4.54353332934334,5.53190539865836e-06,0.000357914279293196
"hsa-let-7e-5p",51.6432653503004,-2.14498099549239,0.458115660133441,-4.68218221325942,2.83837003460586e-06,0.00025014822421774
"hsa-let-7f-5p",1021.97713615266,-2.40192372525967,0.456648290967778,-5.25989864140137,1.44134829583411e-07,7.28782597274004e-05
"hsa-let-7g-5p",1441.47023162993,-1.72553652653853,0.517498971096237,-3.33437672906529,0.000854907842648956,0.0122916749820861
"hsa-miR-130b-3p",43.8573461826007,-1.0611095457785,0.405121620039476,-2.6192370223912,0.00881266917752381,0.0630876783577128
"hsa-miR-151a-5p",426.88667881115,-3.64679781139584,0.777363422785989,-4.69123926403187,2.71555178304304e-06,0.00025014822421774
"hsa-miR-151b",1.64092320018131,-1.73793392197736,0.729863993316565,-2.38117503794103,0.017257509587385,0.0893248696243049
"hsa-miR-155-5p",55.8611117971243,-1.27188598823843,0.36608070747272,-3.47433219581289,0.000512126574214528,0.00838023943360626
"hsa-miR-26a-5p",1458.7581169144,-1.21622140183352,0.409581690995149,-2.96942326420525,0.00298359319600398,0.0301622624658528
"hsa-miR-30e-3p",24.7846404253718,-1.6082943340483,0.462125163708258,-3.48021371773563,0.000501013949055284,0.00838023943360626
"hsa-miR-411-5p",6.81137407984501,-3.14060887574524,0.974794076583076,-3.22181776766017,0.00127380124101554,0.016819375570144
"hsa-miR-432-5p",56.018757959956,-1.66055651144982,0.535112628995017,-3.1031906583264,0.00191446261294621,0.0238203328956961
"hsa-miR-4732-5p",43.1649987058947,-0.923383612277026,0.335344761430124,-2.75353522249499,0.00589554259542406,0.0499871918377242
"hsa-miR-5010-5p",9.3472909237321,-1.35851391438699,0.583760818143778,-2.3271755694511,0.0199559227426465,0.0959162103328858
"hsa-miR-628-3p",9.87041551444813,-2.37157467311333,0.616595862520254,-3.84623838281988,0.000119945071682486,0.00323351922410702
"hsa-miR-6516-5p",2.40317335115701,-4.03657702061708,1.00714930649992,-4.00792314959254,6.12550447817901e-05,0.00188723876065801
"hsa-miR-877-5p",12.1317560303742,-2.22494443181659,0.900157479666377,-2.47172798324268,0.0134461784818238,0.0783754727724324
"hsa-miR-95-3p",4.73131296275206,-1.33545237778086,0.526881851557211,-2.53463347396366,0.0112565035036232,0.0700284400658099
"hsa-miR-98-5p",81.3265548580576,-2.49685189463226,0.661038332023742,-3.77716657820471,0.000158622645586298,0.00360025108596948
