"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-miR-10401-3p",11.5789105336391,2.47597654350463,0.954120906456963,2.59503436802253,0.00945814609747317,0.0639414379795498
"hsa-miR-106a-5p",5.81397122324045,1.15940339941528,0.492966248981381,2.35189204496447,0.018678194951392,0.0929599394888508
"hsa-miR-106b-5p",38.4199024318834,1.21012831618612,0.510838968653153,2.36890368676585,0.0178408987207353,0.0901801677524665
"hsa-miR-1180-3p",162.144640945394,1.04619428053556,0.340462834349384,3.07285898778001,0.00212018648595495,0.0239924751814149
"hsa-miR-12136",112.071388213676,1.30595477490462,0.561436313333954,2.32609602173668,0.0200134287402466,0.0959162103328858
"hsa-miR-1224-5p",7.9637790034157,1.82008357024926,0.607376699257857,2.99663054653429,0.00272981327740332,0.0294364865079991
"hsa-miR-1228-5p",32.8939040089661,3.00787303279295,0.858050998098611,3.50547116600087,0.000455799869486777,0.00817218318491123
"hsa-miR-124-3p",1.53567740438526,4.35848943089047,1.5884131698748,2.74392677771239,0.0060709077617849,0.0499871918377242
"hsa-miR-1246",8.78589588863909,1.21562940261299,0.482023124295681,2.52193171103406,0.0116712363366803,0.0712385840550205
"hsa-miR-1247-5p",2.56502093766902,4.44925973451418,0.946381176646551,4.70134005652974,2.58459671010958e-06,0.00025014822421774
"hsa-miR-1249-3p",2.33808742504207,2.79785185650511,1.08566456909917,2.57708682418054,0.0099636919946458,0.0639414379795498
"hsa-miR-1268b",3.60329094006601,2.70502657842207,0.987152125192449,2.74023274568215,0.00613956904489651,0.0499871918377242
"hsa-miR-1275",3.03374539191202,2.90257338693068,0.940977126701462,3.08463755873161,0.00203800341495439,0.0239924751814149
"hsa-miR-1287-5p",23.766192041683,1.04221013886389,0.43551123881406,2.3930728899257,0.0167079214772586,0.08788638370558
"hsa-miR-1303",2.13202380237589,1.34092586064164,0.560284556928518,2.39329434313272,0.0166978394328745,0.08788638370558
"hsa-miR-1307-3p",565.451967331244,1.39478229917936,0.477585714084961,2.92048580609601,0.0034948611678158,0.0337488832175645
"hsa-miR-140-5p",97.6112576907097,1.86738024571592,0.758114363193386,2.46319069572828,0.0137706653018487,0.0795501825919296
"hsa-miR-144-3p",1258.34513720551,2.37220544210049,0.625203472348569,3.79429345328063,0.000148064476768482,0.00360025108596948
"hsa-miR-147b-3p",2.37324208288257,2.35266666065497,0.968411339719584,2.42940841784878,0.0151234851880005,0.0827509843087298
"hsa-miR-150-3p",4.1502754873944,2.47575695517287,0.55124621814897,4.49119989155883,7.082304231062e-06,0.000416568257954283
"hsa-miR-1537-3p",2.35478290091849,2.09874361777162,0.861168995571444,2.43708683030206,0.0148061235846603,0.0827509843087298
"hsa-miR-16-1-3p",2.78457302089348,3.39818854575126,1.44412111313619,2.35311880343017,0.0186166850215818,0.0929599394888508
"hsa-miR-17-3p",32.9904583051184,1.57472666198153,0.486879730913214,3.23432371897655,0.00121931165566797,0.0164353050253578
"hsa-miR-182-3p",2.02939374519471,4.33510110637931,1.14045338794046,3.80120849498992,0.000143992072981806,0.00360025108596948
"hsa-miR-184",80.6820705674478,7.35753706763247,1.87411647477564,3.92586969201756,8.64169316571938e-05,0.00243094586009584
"hsa-miR-185-5p",2766.19590299041,1.34103892495478,0.338644347888472,3.96002157814378,7.49429913436944e-05,0.00220400524542592
"hsa-miR-1908-3p",1.55831104275941,3.16922937596515,1.07722139608142,2.94204087246481,0.00326056888577156,0.0324552010629877
"hsa-miR-193a-5p",157.878400797167,1.61981648697629,0.3431385403079,4.72059036423836,2.35161106282812e-06,0.00025014822421774
"hsa-miR-19b-1-5p",2.04250292282809,2.71829553471954,1.12572867650619,2.41469866713891,0.0157482321488061,0.0849092183356462
"hsa-miR-203a-3p",54.4513864861521,2.98166928556237,0.999028501979708,2.98456878823156,0.00283978341704218,0.0301203257512506
"hsa-miR-203b-5p",32.4427685413463,2.73483421604893,0.954972885730725,2.86378205801758,0.00418615928461787,0.039252826915185
"hsa-miR-205-5p",34.8362882143389,2.45437585755942,0.949727101219207,2.58429590395876,0.00975780374663575,0.0639414379795498
"hsa-miR-210-3p",63.3788457797186,1.6483335143867,0.567323509333916,2.90545603569643,0.0036671836320184,0.0348921736752339
"hsa-miR-22-5p",8.81200363982418,1.40923656874096,0.591787974191996,2.38132005075818,0.0172507168035338,0.0893248696243049
"hsa-miR-23a-5p",4.51282938271856,2.12020995477564,0.78272860834622,2.70874212615698,0.00675388114065178,0.0526477240723096
"hsa-miR-25-5p",10.5542224273957,1.36085768155448,0.49150801156064,2.76873957198272,0.0056273596442287,0.0485453558642129
"hsa-miR-3059-3p",4.46808390083832,3.04467538398841,0.911579348071579,3.34000039648698,0.000837782702818785,0.0122916749820861
"hsa-miR-31-5p",3.19338498977815,1.65393064719309,0.675863911882128,2.44713561135002,0.0143996647962566,0.0817244133612108
"hsa-miR-3150a-3p",0.66732534172526,3.02753016167794,1.12986445429014,2.6795516490339,0.00737208291909447,0.0566781922786674
"hsa-miR-3150b-3p",1.88183793121856,3.08967544947603,1.00687495446599,3.06857910783438,0.00215079375660288,0.0239924751814149
"hsa-miR-3173-5p",1.46472758111524,2.81017917355749,1.12385992282203,2.50047102534014,0.0124028278232284,0.074996538332979
"hsa-miR-3178",5.73811706454119,3.30845746053687,0.804672480498507,4.11155785828195,3.92998359731484e-05,0.00127134969373135
"hsa-miR-3180-5p",3.35195031487142,2.41568617230292,0.9377564579799,2.57602723153382,0.00999427748331336,0.0639414379795498
"hsa-miR-3182",2.63626547794963,2.53004508127731,0.951746029839369,2.65831955369892,0.00785313920482513,0.0590811751804867
"hsa-miR-3184-5p",85.9070940612924,1.70379415818742,0.700862687883888,2.4309956681125,0.0150573945844501,0.0827509843087298
"hsa-miR-3187-3p",5.02619251831141,2.81802541140813,0.632260645781931,4.45706281137111,8.30902631845902e-06,0.000447995002336916
"hsa-miR-320a-3p",7816.50769450133,1.53856675968409,0.459595927922408,3.3476509825471,0.000814995801000637,0.0122628437964514
"hsa-miR-320b",523.732510656842,0.976944309241642,0.393042843015314,2.48559241467623,0.0129336001185618,0.0773811768252382
"hsa-miR-320c",218.265078572525,0.94557321358821,0.358901567778306,2.63463104784288,0.00842287827293302,0.0619272982112234
"hsa-miR-320d",91.1662441053556,1.12342003502139,0.411523949957779,2.72990195379065,0.00633531643074712,0.0499871918377242
"hsa-miR-324-5p",52.9336395116392,1.11703578756668,0.425575952745134,2.62476246686721,0.00867094344034321,0.0630348360213714
"hsa-miR-338-3p",10.1568571859998,2.40855116911845,0.935630484530251,2.57425469663668,0.0100456292755644,0.0639414379795498
"hsa-miR-345-5p",29.0904411814717,1.75214129855725,0.680956609286537,2.57305865698702,0.0100804121698827,0.0639414379795498
"hsa-miR-3529-3p",217.953455584691,1.75726435438276,0.476280247331575,3.68955959065711,0.00022464260558455,0.00454199268166262
"hsa-miR-3611",1.66079348401148,2.32098983502406,0.948251227509961,2.44765286633882,0.0143790114906533,0.0817244133612108
"hsa-miR-362-5p",6.84657794494651,2.26588315454974,0.717481120821142,3.15810840006004,0.0015879649789679,0.0205482668278447
"hsa-miR-378a-3p",756.766657422484,2.25292200457869,0.643911278066778,3.49880811428348,0.000467342778735263,0.00817218318491123
"hsa-miR-378b",0.898386615437592,4.0875566318679,1.33115573917402,3.07068249910729,0.00213570122873369,0.0239924751814149
"hsa-miR-378c",70.1762135917947,2.46293068851002,0.578642059839267,4.25639762376445,2.07747098344972e-05,0.000839837805554379
"hsa-miR-378d",10.3984569354865,2.85670161543881,0.962029400064041,2.96945354814379,0.00298329913148561,0.0301622624658528
"hsa-miR-378e",2.56359518438131,3.54753932313363,1.15162903254527,3.0804531866421,0.00206685842960624,0.0239924751814149
"hsa-miR-378f",0.98414015964689,2.96086579656344,1.14974277443675,2.57524192575504,0.0100169995197064,0.0639414379795498
"hsa-miR-378i",10.7216119058141,3.60949996386796,0.79131621518083,4.56138759022286,5.08166788828085e-06,0.000357914279293196
"hsa-miR-3960",187.801535415983,1.54630287443415,0.596512562438433,2.59223857434477,0.00953536210206509,0.0639414379795498
"hsa-miR-422a",9.65376037561991,3.52126168264963,0.683443544377198,5.15223490165299,2.5740033410165e-07,7.28782597274004e-05
"hsa-miR-4429",16.1936312961376,1.79622213344877,0.504011817182558,3.56384924363422,0.000365455898849202,0.00675571333015525
"hsa-miR-4433b-3p",2.75259208450711,2.85350094707253,0.974102267616715,2.92936485411746,0.00339655478104978,0.0332965294445335
"hsa-miR-4492",6.77483768772113,2.04076851942263,0.587910933909688,3.47122055691538,0.000518098264828826,0.00838023943360626
"hsa-miR-4508",117.819298642202,1.46242202185579,0.589027569472212,2.48277346876339,0.0130363960957511,0.0773811768252382
"hsa-miR-4516",6.6533340152912,2.5061666540342,0.737435148667941,3.39849091619946,0.000677587131240639,0.0106926554612852
"hsa-miR-4521",8.0585687477408,2.03049052723014,0.661079344883332,3.07147779301513,0.00213002007701518,0.0239924751814149
"hsa-miR-4526",1.83888526070642,3.3773755208214,1.23669682258049,2.73096482432467,0.00631492113480738,0.0499871918377242
"hsa-miR-4634",3.97751581377567,2.30903583385779,0.776825099163361,2.97240117028224,0.00295480321307537,0.0301622624658528
"hsa-miR-4668-5p",1.55228604374657,3.58786723751229,1.34065535297949,2.67620401435653,0.00744613036118506,0.0566781922786674
"hsa-miR-4740-3p",3.00336651542332,3.76435606819624,0.997739699052286,3.77288392129917,0.000161371377887349,0.00360025108596948
"hsa-miR-4745-3p",1.9245553126472,2.86642509838413,1.22393182236955,2.34198102050707,0.0191816903392585,0.0940721027114182
