"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-miR-1228-5p",32.8939040089661,-4.5326681483716,1.11872609911354,-4.05163350704271,5.08612905729156e-05,0.0061711699228471
"hsa-miR-204-3p",4.19075327179048,-2.7671949391627,0.934687510595997,-2.96055623702324,0.00307084052307328,0.0954986475208371
"hsa-miR-2110",93.7833568377909,-1.68970844237085,0.56505300526753,-2.99035387232538,0.00278654420068005,0.0954986475208371
"hsa-miR-30c-1-3p",5.83072490210751,-2.20643365891699,0.741594283647202,-2.9752571015861,0.00292743082644464,0.0954986475208371
"hsa-miR-320e",9.50587771401248,-2.60594677558572,0.790072711273121,-3.29836322455247,0.000972502455695494,0.0707981787746319
"hsa-miR-4306",37.7257495332884,-2.71943751869823,0.562034781449472,-4.83855734281226,1.30784964378938e-06,0.000476057270339333
"hsa-miR-4429",16.1936312961376,-2.11157706793599,0.69527560534673,-3.03703603534739,0.00238916891974546,0.0954986475208371
"hsa-miR-4738-3p",3.68242693902048,-4.89829675639632,1.15662204395146,-4.23500207523442,2.28549595208772e-05,0.00415960263279965
"hsa-miR-4787-5p",2.869761950653,-2.84344226370627,0.953718295541522,-2.98142782517532,0.00286907666905817,0.0954986475208371
"hsa-miR-5187-5p",3.60484271327997,-3.96839543017504,1.09712624896414,-3.61708183896049,0.000297943122210304,0.0271128241211377
"hsa-miR-574-5p",11.2123679763441,-3.25693057644259,1.10296980679253,-2.95287373814325,0.0031483070611265,0.0954986475208371
