"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-miR-1180-3p",162.144640945394,-1.53569535819072,0.462490896160454,-3.32048775649399,0.000898603005137574,0.014500184855629
"hsa-miR-12116",1.27130489444032,-5.00452192598086,1.43493960507647,-3.48761850901324,0.000487342893158806,0.0101768662983162
"hsa-miR-1224-5p",7.9637790034157,-3.06590989254755,0.799176112584644,-3.83633825419529,0.000124882377875335,0.00422221372816609
"hsa-miR-1228-3p",3.13208759675028,-4.88248014196535,1.79484771307633,-2.72027543417423,0.00652275596206741,0.0606232008916364
"hsa-miR-1228-5p",32.8939040089661,-6.67707546660554,1.1136518634839,-5.99565778637255,2.02663405003584e-09,1.43891017552545e-06
"hsa-miR-1268b",3.60329094006601,-4.17591540589899,1.27962466093702,-3.26339084684499,0.00110087581877292,0.0166302517303994
"hsa-miR-1275",3.03374539191202,-4.27768810708748,1.21750891978823,-3.51347578449899,0.000442284726107005,0.00977366692263673
"hsa-miR-129-5p",1.85962708109364,-3.39505840435665,1.07530028122492,-3.157311928245,0.00159230914536439,0.0202540524820748
"hsa-miR-1292-5p",8.01809298124866,-1.52002970308308,0.628918218313387,-2.41689564528667,0.015653504132809,0.0978549176538743
"hsa-miR-139-3p",39.8085738294665,-1.12475222563069,0.465126076440114,-2.41816634801274,0.0155989438461552,0.0978549176538743
"hsa-miR-147b-3p",2.37324208288257,-3.26146664471336,1.26646523100706,-2.57525162543935,0.0100167185886501,0.0748617915572798
"hsa-miR-150-3p",4.1502754873944,-2.07395256638589,0.765893513435366,-2.70788631840386,0.00677132123172968,0.0607806564390366
"hsa-miR-16-1-3p",2.78457302089348,-4.68062783346516,1.87215964994581,-2.50012216297934,0.012415048686646,0.0847908601223485
"hsa-miR-182-3p",2.02939374519471,-5.27557003446509,1.47132127118802,-3.58560032929133,0.000336303677223428,0.00795918702762114
"hsa-miR-185-5p",2766.19590299041,-1.67672593659021,0.453947452178609,-3.69365645416265,0.000221052399721349,0.00627788815208632
"hsa-miR-1908-3p",1.55831104275941,-4.210861549783,1.38956027014259,-3.03035545867392,0.00244266072934046,0.0284309691447824
"hsa-miR-193a-5p",157.878400797167,-1.66130482804693,0.466864704411411,-3.55842883891036,0.000373079837171229,0.00854473175456686
"hsa-miR-193b-5p",13.9102051740922,-1.5327160524379,0.613924570923801,-2.49658691805013,0.0125394933983755,0.0847908601223485
"hsa-miR-19b-1-5p",2.04250292282809,-3.96389520656105,1.45857172245102,-2.71765532373001,0.00657462882909296,0.0606232008916364
"hsa-miR-204-3p",4.19075327179048,-3.10004134127271,0.982156357463509,-3.15636234263025,0.00159750273098055,0.0202540524820748
"hsa-miR-206",9.04981949697913,-2.29372009464628,0.950369780062428,-2.41350276783381,0.0158000078803193,0.0978549176538743
"hsa-miR-210-3p",63.3788457797186,-2.40503672024564,0.759236469109209,-3.1677044216111,0.00153647647383207,0.0202540524820748
"hsa-miR-2110",93.7833568377909,-2.14429779248018,0.578225553543087,-3.7084106355054,0.000208564240080785,0.00617002543572323
"hsa-miR-22-5p",8.81200363982418,-1.91118646822819,0.796254723138754,-2.40021994556528,0.016385223293626,0.0999602988217645
"hsa-miR-23a-5p",4.51282938271856,-2.93673810451092,1.03282396283137,-2.84340624365472,0.00446341391434932,0.0452717697026859
"hsa-miR-296-3p",1.03114845139135,-4.86755199799587,1.9203680730003,-2.53469741891252,0.0112544491387733,0.0807137261467578
"hsa-miR-3059-3p",4.46808390083832,-5.09666518489203,1.16798686438686,-4.36363228071711,1.279205303773e-05,0.00129747966525547
"hsa-miR-30c-1-3p",5.83072490210751,-1.9086510207953,0.770150461624985,-2.4782832912521,0.0132016280002584,0.0884259988696551
"hsa-miR-31-5p",3.19338498977815,-2.31712603804658,0.899109955023682,-2.57713311380869,0.00996235773218702,0.0748617915572798
"hsa-miR-3124-5p",1.42472455605001,-2.88265756927704,1.07399345515389,-2.68405506145658,0.00727351262234074,0.0618675398663851
"hsa-miR-3150a-3p",0.66732534172526,-3.86753574977695,1.4437840329095,-2.6787494955067,0.00738976558687711,0.0618675398663851
"hsa-miR-3150b-3p",1.88183793121856,-4.02089854911336,1.30697871410185,-3.07648357676316,0.00209457841163819,0.0252059435976799
"hsa-miR-3178",5.73811706454119,-4.47271770473081,1.04828530442169,-4.26669885179614,1.98386667529207e-05,0.00152773614647146
"hsa-miR-3187-3p",5.02619251831141,-2.91410998411859,0.851647835065549,-3.4217312181558,0.000622237926762492,0.0113279212308043
"hsa-miR-320a-3p",7816.50769450133,-2.39434645383926,0.601742810672586,-3.97901962661261,6.92000288365879e-05,0.00307075127962359
"hsa-miR-320b",523.732510656842,-1.82080021893491,0.531375279267649,-3.42658059186413,0.000611232349496859,0.0113279212308043
"hsa-miR-320c",218.265078572525,-1.2482369035453,0.487243955669872,-2.56183147891327,0.0104121827341067,0.0765614481734251
"hsa-miR-320d",91.1662441053556,-1.35269188816242,0.558101224851571,-2.42373932886847,0.0153616275184331,0.0978549176538743
"hsa-miR-320e",9.50587771401248,-3.28077150942326,0.812875583702075,-4.03600695506397,5.43686049533321e-05,0.00296936227052814
"hsa-miR-3667-5p",2.59244877040807,-4.00941779350759,1.51371706325127,-2.64872339147442,0.00807964312518642,0.0659373174584179
"hsa-miR-378b",0.898386615437592,-4.42756020006742,1.71731956819317,-2.5781807195767,0.0099322038422622,0.0748617915572798
"hsa-miR-378c",70.1762135917947,-2.55013946418141,0.775156105042007,-3.28983987559927,0.00100244410807768,0.0154725068855468
"hsa-miR-378d",10.3984569354865,-3.66466456289182,1.26382275790221,-2.89966653945583,0.00373559839021561,0.0390040420154866
"hsa-miR-378e",2.56359518438131,-4.14198545788226,1.50471006866752,-2.75268009707023,0.00591096245264029,0.0559571112183281
"hsa-miR-378f",0.98414015964689,-4.35457288781665,1.46214415726773,-2.97821036740585,0.00289936910179874,0.0321648759730798
"hsa-miR-378g",1.599757245703,-5.79980426407508,2.16573527999433,-2.67798392428194,0.00740667730794751,0.0618675398663851
