GeneID;1-BC31;1-BC39;1-BC47;1-CR3;2-BC10;2-BC11;2-BC27;2-BC2;2-BC30;2-BC35;2-BC36;2-BC38;2-BC3;2-BC41;2-BC4;2-BC59;2-BC5;2-BC6;2-BC7;2-BC8;2-BC93;2-BC9;2-CR12;2-CR15;3-BC12;3-BC50;3-BC55;3-BC58;3-BC62;3-BC74;3-BC75;3-BC77;3-BC80;3-BC82;3-BC83;3-BC84;3-BC86;3-CR1;3-CR4;3-CR5;3-CR8
hsa-let-7a-2-3p;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hsa-let-7a-3p;0;0;0;0;4;0;0;18;1;6;0;0;2;22;0;22;0;2;5;2;8;4;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hsa-let-7a-5p;89;11159;277;54;550;30;337;4286;946;7118;9;693;104;7070;300;8264;89;306;656;1139;754;128;771;19;359;4074;19551;8207;67289;139618;13972;24718;25432;42931;68790;29727;25024;0;303;11537;1829
hsa-let-7b-3p;0;2;0;0;1;0;1;11;2;5;0;2;0;13;2;28;0;2;7;2;2;0;5;0;0;1;5;3;6;10;0;5;6;12;17;10;1;0;1;3;0
hsa-let-7b-5p;204;11538;604;191;2076;69;990;9014;1399;16878;60;755;572;5986;1127;22656;1006;1272;3040;4712;1502;1374;2886;110;1112;7484;18123;28254;74008;87213;12702;19455;9892;40209;46801;19343;20543;1;1836;15437;13806
hsa-let-7c-3p;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hsa-let-7c-5p;8;609;24;12;37;7;52;295;74;399;0;53;11;275;32;572;16;30;75;111;91;23;55;7;19;243;1188;941;2848;3744;599;1093;1078;2757;4703;1181;1000;0;44;469;334
hsa-let-7d-3p;0;27;2;0;23;5;15;101;14;164;1;24;4;156;16;816;7;12;52;32;13;7;63;2;1;0;5;0;0;14;6;8;2;19;14;4;2;0;1;1;2
hsa-let-7d-5p;4;736;34;11;395;16;239;1614;635;2680;8;343;41;2201;161;1723;41;227;593;495;94;108;564;12;69;403;3475;886;8209;13756;2299;2619;1702;4488;5493;2175;1316;0;45;1406;728
hsa-let-7e-3p;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
hsa-let-7e-5p;1;220;6;2;4;0;8;74;32;253;0;13;1;76;9;268;3;17;19;38;41;4;14;0;5;73;451;222;1863;1836;185;453;549;1377;2045;373;353;0;8;125;41
hsa-let-7f-1-3p;0;0;0;0;1;0;0;5;0;1;0;2;0;3;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
hsa-let-7f-2-3p;0;0;0;0;1;0;0;2;0;0;0;0;1;2;0;8;0;1;0;2;3;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
