GeneID	1-BC31	1-BC39	1-BC47	1-CR3	2-BC10	2-BC11	2-BC27	2-BC2	2-BC30	2-BC35	2-BC36	2-BC38	2-BC3	2-BC41	2-BC4	2-BC59	2-BC5	2-BC6	2-BC7	2-BC8	2-BC93	2-BC9	2-CR12	2-CR15	3-BC12	3-BC50	3-BC55	3-BC58	3-BC62	3-BC74	3-BC75	3-BC77	3-BC80	3-BC82	3-BC83	3-BC84	3-BC86	3-CR1	3-CR4	3-CR5	3-CR8
hsa-let-7a-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7a-3p	0	0	0	0	1	0	0	9	0	4	0	0	1	10	0	13	0	2	0	2	7	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7a-5p	0	137	2	0	9	0	3	160	14	641	0	8	1	169	21	652	6	9	22	15	24	1	20	1	8	48	631	268	8494	19333	983	1152	811	1836	2547	933	1171	0	9	305	47
hsa-let-7b-3p	0	2	0	0	0	0	0	3	1	0	0	0	0	1	0	2	0	0	0	0	2	0	1	0	0	0	3	0	5	5	0	1	1	9	6	0	1	0	0	0	0
hsa-let-7b-5p	5	631	18	2	98	7	58	488	63	1584	1	19	16	292	52	1828	36	63	128	181	52	56	149	8	44	159	994	836	9283	10665	745	1058	409	1852	2395	894	900	0	57	514	563
hsa-let-7c-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7c-5p	0	46	3	0	6	1	10	43	4	83	0	1	1	34	2	104	4	2	8	13	4	3	12	1	0	14	78	88	597	709	49	66	45	185	240	81	94	0	2	34	34
hsa-let-7d-3p	0	0	0	0	0	0	0	0	0	5	0	0	0	2	2	19	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0
hsa-let-7d-5p	0	1	0	0	3	0	4	18	6	95	0	3	2	22	1	104	0	0	2	1	8	0	4	0	2	2	117	21	1082	1788	138	143	75	283	305	52	82	0	0	49	3
hsa-let-7e-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7e-5p	0	9	1	0	1	0	0	7	2	47	0	0	0	5	1	50	0	0	3	5	6	0	1	0	0	2	33	8	305	335	15	43	33	62	70	26	27	0	0	17	0
hsa-let-7f-1-3p	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
