GeneID	1-BC31	1-BC39	1-BC47	1-CR3	2-BC10	2-BC11	2-BC27	2-BC2	2-BC30	2-BC35	2-BC36	2-BC38	2-BC3	2-BC41	2-BC4	2-BC59	2-BC5	2-BC6	2-BC7	2-BC8	2-BC93	2-BC9	2-CR12	2-CR15	3-BC12	3-BC50	3-BC55	3-BC58	3-BC62	3-BC74	3-BC75	3-BC77	3-BC80	3-BC82	3-BC83	3-BC84	3-BC86	3-CR1	3-CR4	3-CR5	3-CR8
hsa-let-7a-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7a-3p	0	0	0	0	3	0	0	9	1	2	0	0	1	12	0	9	0	0	5	0	1	3	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7a-5p	89	11022	275	54	541	30	334	4126	932	6477	9	685	103	6901	279	7612	83	297	634	1124	730	127	751	18	351	4026	18920	7939	58795	120285	12989	23566	24621	41095	66243	28794	23853	0	294	11232	1782
hsa-let-7b-3p	0	0	0	0	1	0	1	8	1	5	0	2	0	12	2	26	0	2	7	2	0	0	4	0	0	1	2	3	1	5	0	4	5	3	11	10	0	0	1	3	0
hsa-let-7b-5p	199	10907	586	189	1978	62	932	8526	1336	15294	59	736	556	5694	1075	20828	970	1209	2912	4531	1450	1318	2737	102	1068	7325	17129	27418	64725	76548	11957	18397	9483	38357	44406	18449	19643	1	1779	14923	13243
hsa-let-7c-3p	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7c-5p	8	563	21	12	31	6	42	252	70	316	0	52	10	241	30	468	12	28	67	98	87	20	43	6	19	229	1110	853	2251	3035	550	1027	1033	2572	4463	1100	906	0	42	435	300
hsa-let-7d-3p	0	27	2	0	23	5	15	101	14	159	1	24	4	154	14	797	7	12	51	32	13	7	63	2	0	0	5	0	0	12	6	8	2	19	13	4	2	0	0	1	2
hsa-let-7d-5p	4	735	34	11	392	16	235	1596	629	2585	8	340	39	2179	160	1619	41	227	591	494	86	108	560	12	67	401	3358	865	7127	11968	2161	2476	1627	4205	5188	2123	1234	0	45	1357	725
hsa-let-7e-3p	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
hsa-let-7e-5p	1	211	5	2	3	0	8	67	30	206	0	13	1	71	8	218	3	17	16	33	35	4	13	0	5	71	418	214	1558	1501	170	410	516	1315	1975	347	326	0	8	108	41
hsa-let-7f-1-3p	0	0	0	0	1	0	0	4	0	1	0	2	0	3	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7f-2-3p	0	0	0	0	1	0	0	2	0	0	0	0	1	2	0	8	0	1	0	2	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7f-5p	29	4783	87	31	244	21	186	2466	342	5592	5	300	76	3718	117	6863	40	147	252	371	872	66	269	6	72	512	5306	1335	18893	62787	5192	8844	6892	12622	20479	7198	6389	0	48	2619	332
hsa-let-7g-3p	0	0	0	0	0	1	0	2	0	1	0	1	0	5	1	9	0	1	7	2	1	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-let-7g-5p	9	1102	86	8	509	41	263	4402	307	2582	7	618	37	3213	154	6170	35	254	727	423	137	73	742	14	434	5705	16239	6450	18617	52241	18185	19137	10293	23402	35113	15206	8366	0	260	11279	4735
hsa-let-7i-3p	3	3	2	0	24	5	6	32	10	39	0	22	3	28	10	99	6	9	38	21	0	7	35	2	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0
hsa-let-7i-5p	326	12353	2023	207	6817	545	2456	27843	4766	47341	137	7685	1225	23282	2876	51427	1277	4729	9126	3933	2941	1761	8768	190	849	10583	33026	17561	113293	81978	49244	35461	18381	50359	70610	31239	25370	0	1698	13896	14970
hsa-miR-100-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-100-5p	2	3	5	0	5	2	2	43	10	14	1	3	1	51	5	62	2	12	8	16	9	2	7	0	0	0	8	0	10	22	23	17	15	26	58	11	5	0	0	1	1
hsa-miR-101-2-5p	0	2	0	0	1	2	2	3	0	4	0	1	0	5	0	9	0	1	3	2	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-101-3p	0	328	116	5	1014	94	307	2775	477	1436	11	566	59	2209	215	3584	51	273	908	902	255	139	859	14	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-101-5p	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	3	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10226	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10392-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0
hsa-miR-10392-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10393-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10393-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10394-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10394-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10395-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10395-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10396a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10396a-5p	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
